timestamp,open,high,low,close,volume
1741968000000,5.255,5.358,5.207,5.229,601899.92
1741982400000,5.228,5.253,5.164,5.209,303734.82
1741996800000,5.209,5.309,5.184,5.293,321828.22
1742011200000,5.293,5.358,5.27,5.282,457321.06
1742025600000,5.282,5.384,5.272,5.307,500135.23
1742040000000,5.306,5.361,5.294,5.319,339095.77
1742054400000,5.321,5.375,5.311,5.355,392057.66
1742068800000,5.355,5.441,5.34,5.348,337026.57
1742083200000,5.349,5.387,5.29,5.349,307170.56
1742097600000,5.349,5.39,5.314,5.327,215803.04
1742112000000,5.328,5.335,5.158,5.171,694645.92
1742126400000,5.172,5.247,5.13,5.174,518550.45
1742140800000,5.172,5.277,5.099,5.137,579605.43
1742155200000,5.138,5.192,5.106,5.145,270600.03
1742169600000,5.145,5.395,5.143,5.355,525641.74
1742184000000,5.357,5.391,5.254,5.349,634218.04
1742198400000,5.348,5.42,5.316,5.373,705195.97
1742212800000,5.373,5.45,5.34,5.386,772837.07
1742227200000,5.386,5.448,5.345,5.385,449736.04
1742241600000,5.385,5.433,5.335,5.346,341212.93
1742256000000,5.347,5.348,5.226,5.239,371561.86
1742270400000,5.237,5.334,5.22,5.33,440416.47
1742284800000,5.33,5.474,5.327,5.371,842724.72
1742299200000,5.371,5.466,5.304,5.386,778643.02
1742313600000,5.388,5.403,5.211,5.292,564345.32
1742328000000,5.292,5.459,5.263,5.429,516947.7
1742342400000,5.43,5.551,5.361,5.543,590675.73
1742356800000,5.542,5.57,5.436,5.504,507490.32
1742371200000,5.504,5.66,5.471,5.607,1038319.99
1742385600000,5.608,5.634,5.506,5.6,971774.09
1742400000000,5.6,5.615,5.427,5.57,1034817.55
1742414400000,5.57,5.619,5.526,5.603,260651.05
1742428800000,5.603,5.627,5.48,5.503,406256.49
1742443200000,5.503,5.527,5.475,5.482,242177.2
1742457600000,5.483,5.527,5.404,5.423,364713.58
1742472000000,5.424,5.538,5.41,5.464,412512.98
1742486400000,5.462,5.549,5.455,5.547,464208.22
1742500800000,5.547,5.64,5.544,5.628,395403.87
1742515200000,5.628,5.688,5.548,5.561,387823.58
1742529600000,5.56,5.629,5.468,5.488,362844.03
1742544000000,5.488,5.517,5.404,5.492,392634.6
1742558400000,5.493,5.558,5.45,5.493,523636.76
1742572800000,5.494,5.638,5.467,5.635,378965.9
1742587200000,5.635,5.744,5.609,5.618,481426.51
1742601600000,5.617,5.675,5.589,5.661,203725.47
1742616000000,5.662,5.726,5.654,5.685,235182.97
1742630400000,5.685,5.805,5.683,5.768,461326.78
1742644800000,5.767,5.819,5.71,5.771,504675.28
1742659200000,5.772,5.819,5.742,5.752,293663.6
1742673600000,5.751,5.757,5.662,5.677,229476.42
1742688000000,5.677,5.677,5.613,5.646,319397.18
1742702400000,5.645,5.661,5.586,5.644,279246.7
1742716800000,5.644,5.664,5.606,5.62,202265.08
1742731200000,5.622,5.669,5.608,5.654,196797.61
1742745600000,5.654,5.699,5.615,5.68,127173.15
1742760000000,5.68,5.719,5.631,5.714,125056.89
1742774400000,5.714,5.796,5.614,5.718,500347.32
1742788800000,5.718,5.932,5.717,5.787,816187.77
1742803200000,5.786,5.87,5.782,5.836,365207.19
1742817600000,5.837,5.922,5.794,5.856,494512.03
1742832000000,5.857,5.93,5.801,5.918,272644.11
1742846400000,5.918,6.053,5.909,6.031,507070.05
1742860800000,6.032,6.103,5.903,5.929,441517.55
1742875200000,5.928,5.997,5.919,5.968,174224.36
1742889600000,5.968,5.99,5.921,5.964,390048.38
1742904000000,5.964,5.997,5.824,5.85,734322.23
1742918400000,5.85,5.911,5.834,5.882,492962.16
1742932800000,5.882,5.951,5.865,5.916,193224.49
1742947200000,5.916,5.951,5.854,5.866,181633.84
1742961600000,5.867,5.987,5.86,5.984,197112.55
1742976000000,5.984,6.057,5.954,6.034,367407.31
1742990400000,6.036,6.039,5.825,5.897,467336.38
1743004800000,5.896,5.918,5.789,5.874,385474.53
1743019200000,5.874,5.949,5.831,5.946,209974.89
1743033600000,5.947,6.043,5.914,6.031,282322.35
1743048000000,6.032,6.083,5.982,5.997,358631.25
1743062400000,5.996,6.041,5.862,5.875,329516.46
1743076800000,5.874,5.984,5.826,5.947,563349
1743091200000,5.947,5.972,5.905,5.911,126361.21
1743105600000,5.912,6.028,5.903,5.963,280967.86
1743120000000,5.962,5.964,5.847,5.872,278193.77
1743134400000,5.872,5.881,5.55,5.585,936404.2
1743148800000,5.585,5.649,5.462,5.508,1201377.03
1743163200000,5.508,5.565,5.43,5.537,1117447.52
1743177600000,5.538,5.577,5.505,5.51,283605.3
1743192000000,5.508,5.583,5.483,5.548,207990.25
1743206400000,5.548,5.594,5.455,5.549,257926.17
1743220800000,5.549,5.551,5.427,5.458,219413.57
1743235200000,5.459,5.507,5.311,5.341,521367.33
1743249600000,5.341,5.393,5.295,5.305,237826.07
1743264000000,5.305,5.315,5.159,5.219,674305.28
1743278400000,5.22,5.236,5.152,5.229,248213.11
1743292800000,5.229,5.318,5.164,5.277,288339.47
1743307200000,5.276,5.32,5.26,5.295,159958.61
1743321600000,5.296,5.355,5.285,5.316,259132.18
1743336000000,5.314,5.327,5.228,5.295,353759.65
1743350400000,5.295,5.408,5.257,5.355,350718.44
1743364800000,5.356,5.369,5.222,5.298,252486.88
1743379200000,5.3,5.353,5.207,5.231,505353.02
1743393600000,5.232,5.285,5.096,5.135,496230.67
1743408000000,5.135,5.212,5.072,5.197,682164.2
1743422400000,5.198,5.429,5.166,5.343,1490779.83
1743436800000,5.344,5.371,5.258,5.263,497707.23
1743451200000,5.262,5.295,5.227,5.266,184426.49
1743465600000,5.265,5.343,5.249,5.298,341733.01
1743480000000,5.298,5.333,5.273,5.295,240807.77
1743494400000,5.295,5.415,5.287,5.347,585723.91
1743508800000,5.347,5.458,5.27,5.425,895130
1743523200000,5.426,5.447,5.342,5.378,607844.93
1743537600000,5.38,5.446,5.336,5.402,219288.41
1743552000000,5.401,5.401,5.206,5.283,463392.71
1743566400000,5.283,5.307,5.19,5.268,933238.86
1743580800000,5.268,5.343,5.252,5.304,325276.35
1743595200000,5.305,5.45,5.231,5.416,789931.13
1743609600000,5.417,5.454,5.338,5.415,629643.53
1743624000000,5.415,5.512,5.021,5.099,1349055.88
1743638400000,5.1,5.28,5.082,5.262,551560.65
1743652800000,5.262,5.33,5.176,5.221,404618.28
1743667200000,5.221,5.284,5.122,5.141,780164.4
1743681600000,5.141,5.169,4.959,5.003,1352140.59
1743696000000,5.003,5.06,4.944,5.007,705072.92
1743710400000,5.008,5.095,4.983,5.059,395142.82
1743724800000,5.06,5.074,4.957,4.986,575429.72
1743739200000,4.987,5.082,4.926,5.077,558757.06
1743753600000,5.078,5.1,4.738,4.783,1515268.81
1743768000000,4.783,4.949,4.738,4.828,2319502.09
1743782400000,4.828,4.901,4.76,4.891,1440796.93
1743796800000,4.89,4.949,4.874,4.907,396989.04
1743811200000,4.906,4.944,4.831,4.835,291304.86
1743825600000,4.836,4.905,4.828,4.893,208581.23
1743840000000,4.893,4.936,4.882,4.895,203522.18
1743854400000,4.895,4.9,4.783,4.803,351862.37
1743868800000,4.803,4.844,4.791,4.816,282786.51
1743883200000,4.816,4.894,4.779,4.887,376967.16
1743897600000,4.888,4.917,4.835,4.861,244677.17
1743912000000,4.862,4.864,4.718,4.751,701476.63
1743926400000,4.752,4.809,4.73,4.766,347147.23
1743940800000,4.765,4.778,4.621,4.644,810350.85
1743955200000,4.644,4.652,4.354,4.405,1647055.15
1743969600000,4.404,4.434,4.241,4.348,1275862.36
1743984000000,4.349,4.436,4.131,4.227,1234834.96
1743998400000,4.228,4.282,3.893,4.016,2471456.92
1744012800000,4.017,4.287,3.991,4.194,1699886.89
1744027200000,4.195,4.559,4.149,4.337,3244571.58
1744041600000,4.336,4.484,4.317,4.4,1357831.04
1744056000000,4.4,4.501,4.4,4.412,324568.07
1744070400000,4.413,4.57,4.367,4.485,612106.24
1744084800000,4.486,4.52,4.375,4.405,466307.95
1744099200000,4.405,4.688,4.389,4.679,1172959.67
