timestamp,open,high,low,close,volume
1741968000000,19,19.31,18.77,18.99,386254.13
1741982400000,18.99,19.11,18.52,18.58,830472.55
1741996800000,18.58,18.67,18.37,18.63,317125.65
1742011200000,18.62,18.9,18.5,18.61,420188.97
1742025600000,18.61,18.66,18.43,18.56,453098.32
1742040000000,18.55,18.73,18.42,18.56,316954.82
1742054400000,18.55,18.76,18.47,18.62,256525.36
1742068800000,18.62,19.47,18.62,19.4,786525.22
1742083200000,19.39,19.73,18.96,19.7,445017.73
1742097600000,19.69,19.85,19.28,19.35,248343.37
1742112000000,19.36,19.41,18.33,18.42,406537.1
1742126400000,18.41,18.71,18.18,18.5,337078.41
1742140800000,18.5,19.07,18.22,18.33,521519.75
1742155200000,18.34,18.47,18.12,18.25,212403.39
1742169600000,18.26,18.73,18.22,18.62,250210.39
1742184000000,18.63,18.74,18.25,18.62,293419.22
1742198400000,18.61,18.74,18.41,18.62,222482.75
1742212800000,18.62,18.83,18.2,18.47,619750.89
1742227200000,18.46,19.09,18.39,18.94,432834.31
1742241600000,18.95,18.98,18.7,18.82,169635.58
1742256000000,18.83,18.95,18.4,18.57,278522.69
1742270400000,18.58,19.04,18.44,18.83,310328.24
1742284800000,18.82,19.28,18.71,18.79,465302.55
1742299200000,18.79,18.91,18.37,18.45,507565.09
1742313600000,18.45,18.72,18.32,18.66,316338.64
1742328000000,18.66,19.08,18.46,18.97,289966.01
1742342400000,18.97,19.23,18.84,19.19,298685.46
1742356800000,19.2,19.33,18.9,18.91,307221.86
1742371200000,18.91,19.67,18.89,19.54,506721.67
1742385600000,19.55,19.96,19.3,19.86,838034.64
1742400000000,19.85,20.1,19.44,19.59,834188.87
1742414400000,19.59,19.79,19.38,19.74,458271.89
1742428800000,19.74,19.86,19.26,19.28,339228.75
1742443200000,19.28,19.3,19.08,19.14,201604.7
1742457600000,19.13,19.33,18.74,18.85,370116.26
1742472000000,18.84,19.2,18.75,18.78,391838.24
1742486400000,18.77,18.88,18.41,18.71,410584.41
1742500800000,18.71,18.8,18.62,18.74,121904.38
1742515200000,18.75,19.12,18.73,18.8,163635.16
1742529600000,18.81,19.01,18.68,18.76,153826.67
1742544000000,18.75,18.88,18.43,18.52,271946.44
1742558400000,18.52,18.64,18.36,18.49,208511.64
1742572800000,18.49,18.9,18.4,18.89,210505.04
1742587200000,18.89,19.49,18.86,19.18,390390.02
1742601600000,19.19,19.41,19.08,19.31,208130.6
1742616000000,19.3,19.49,19.3,19.37,132025.64
1742630400000,19.37,19.65,19.33,19.46,185739.14
1742644800000,19.45,19.58,19.27,19.55,151823.84
1742659200000,19.54,19.71,19.48,19.64,150977.2
1742673600000,19.65,19.74,19.34,19.43,196049.92
1742688000000,19.43,19.72,19.33,19.71,134330.86
1742702400000,19.72,19.72,19.46,19.58,114010.34
1742716800000,19.59,19.78,19.48,19.63,143962.61
1742731200000,19.63,19.7,19.44,19.48,189975.38
1742745600000,19.49,19.64,19.31,19.49,192280.39
1742760000000,19.5,19.85,19.34,19.82,157354.28
1742774400000,19.82,21.17,19.78,21.14,742712.16
1742788800000,21.15,21.84,21.14,21.52,808021.96
1742803200000,21.52,21.94,21.51,21.68,420341.98
1742817600000,21.69,22.14,21.42,21.54,802236.77
1742832000000,21.53,21.58,21.24,21.38,280352.33
1742846400000,21.39,21.51,21.24,21.48,232449.56
1742860800000,21.49,21.68,21.33,21.36,302930.13
1742875200000,21.35,21.94,21.29,21.85,260335.02
1742889600000,21.85,22.41,21.84,22.33,327708.68
1742904000000,22.34,22.81,22.13,22.48,584377.4
1742918400000,22.49,23.23,22.43,23.04,502005.4
1742932800000,23.05,23.46,22.77,22.9,502842.86
1742947200000,22.91,23.25,22.54,22.59,356546.49
1742961600000,22.6,22.88,22.54,22.85,210710.71
1742976000000,22.84,22.98,22.64,22.86,171921.39
1742990400000,22.85,22.88,21.96,22.17,562320.8
1743004800000,22.17,22.48,21.83,22.07,411250.21
1743019200000,22.06,22.29,21.85,22.04,224609.7
1743033600000,22.05,22.38,21.99,22.17,256663.62
1743048000000,22.18,22.19,21.92,22.08,156217.26
1743062400000,22.08,22.2,21.82,21.87,258347.62
1743076800000,21.88,22.29,21.63,21.92,432983.02
1743091200000,21.93,22.13,21.81,22,179197.35
1743105600000,22.01,22.24,21.91,22.02,180689.42
1743120000000,22.03,22.19,21.65,21.77,235103.13
1743134400000,21.78,21.82,20.67,20.71,569945.26
1743148800000,20.71,20.8,20.18,20.57,520485.57
1743163200000,20.56,20.64,19.97,19.98,413079.08
1743177600000,19.97,20.03,19.77,19.81,265489.53
1743192000000,19.81,20.61,19.78,20.36,322802.91
1743206400000,20.37,20.54,20.08,20.43,214523.34
1743220800000,20.44,20.53,19.81,19.87,204881.51
1743235200000,19.87,20.18,19.65,19.86,370157.47
1743249600000,19.87,20.32,19.82,20,347811.33
1743264000000,20,20.07,19.67,19.87,370226.1
1743278400000,19.87,19.91,19.46,19.6,321716.47
1743292800000,19.6,19.91,19.37,19.66,307942.36
1743307200000,19.67,19.75,19.35,19.45,191894.52
1743321600000,19.45,19.71,19.18,19.35,314482.97
1743336000000,19.36,19.48,19.05,19.31,374644.22
1743350400000,19.31,19.4,18.99,19.12,321702.67
1743364800000,19.12,19.17,18.69,18.86,337019.18
1743379200000,18.87,19.03,18.47,18.63,334034.21
1743393600000,18.64,18.95,18.44,18.57,240014.48
1743408000000,18.56,18.73,18.18,18.64,423061.26
1743422400000,18.64,19.12,18.42,18.97,653775.68
1743436800000,18.98,19.06,18.62,18.65,259290.79
1743451200000,18.65,18.86,18.6,18.77,161634.73
1743465600000,18.78,19.18,18.72,19.03,214830.46
1743480000000,19.04,19.54,18.96,19.21,279431.31
1743494400000,19.21,19.74,19,19.4,517791.2
1743508800000,19.4,19.95,18.97,19.85,479997.71
1743523200000,19.85,19.95,19.34,19.45,247792.06
1743537600000,19.45,19.93,19.32,19.82,444860.39
1743552000000,19.83,19.84,19.13,19.22,331230.21
1743566400000,19.22,19.72,18.8,19.06,532877.08
1743580800000,19.06,19.58,18.92,19.21,329613.4
1743595200000,19.21,19.84,18.93,19.62,643386.36
1743609600000,19.62,19.85,19.19,19.43,573775.61
1743624000000,19.43,19.9,17.76,17.99,1743417.67
1743638400000,17.98,18.86,17.88,18.76,428944.81
1743652800000,18.77,18.99,18.2,18.38,345798.64
1743667200000,18.37,18.51,17.98,18.09,314101.6
1743681600000,18.09,18.2,17.58,17.96,769250.22
1743696000000,17.96,18.27,17.83,18,420565.05
1743710400000,18.01,18.27,17.86,18.15,290080.49
1743724800000,18.16,18.28,17.91,18.03,212510.47
1743739200000,18.03,18.61,17.96,18.6,258479.69
1743753600000,18.6,18.77,17.61,17.89,562591.04
1743768000000,17.89,18.47,17.81,18,779303.5
1743782400000,18,18.36,17.73,18.11,597797.1
1743796800000,18.11,18.36,18.02,18.19,157142.58
1743811200000,18.18,18.37,18.09,18.11,99756.92
1743825600000,18.12,18.24,18.05,18.21,90373.58
1743840000000,18.2,18.35,18.13,18.24,89248.69
1743854400000,18.24,18.3,17.77,17.85,162607.81
1743868800000,17.84,18,17.82,17.86,110514.06
1743883200000,17.87,17.93,17.69,17.87,340453.03
1743897600000,17.88,17.92,17.32,17.39,459791.38
1743912000000,17.4,17.51,17.18,17.2,232822.04
1743926400000,17.2,17.36,17.11,17.19,167322.33
1743940800000,17.19,17.32,16.84,17.31,386529.05
1743955200000,17.31,17.33,16.14,16.4,949234
1743969600000,16.39,16.47,15.62,16.04,799635.32
