timestamp,open,high,low,close,volume
1741968000000,0.515,0.521,0.509,0.518,3179450.1
1741982400000,0.518,0.523,0.51,0.517,2091942.4
1741996800000,0.518,0.522,0.509,0.521,2497903.1
1742011200000,0.521,0.533,0.506,0.514,7722884.9
1742025600000,0.515,0.522,0.509,0.52,3129689.8
1742040000000,0.521,0.525,0.516,0.523,2998201.5
1742054400000,0.523,0.534,0.518,0.522,7176617
1742068800000,0.522,0.53,0.522,0.526,3000029.4
1742083200000,0.526,0.529,0.517,0.529,2367901.9
1742097600000,0.529,0.534,0.526,0.531,2298077.9
1742112000000,0.53,0.532,0.507,0.507,6246860.7
1742126400000,0.507,0.518,0.501,0.517,5681870.5
1742140800000,0.517,0.545,0.505,0.508,13504540.3
1742155200000,0.509,0.514,0.5,0.507,3294583.2
1742169600000,0.506,0.518,0.505,0.517,3743096
1742184000000,0.517,0.52,0.507,0.518,2986444.9
1742198400000,0.517,0.522,0.511,0.522,4895092.1
1742212800000,0.522,0.527,0.509,0.518,7606136
1742227200000,0.518,0.536,0.513,0.531,7264028
1742241600000,0.531,0.533,0.521,0.524,2871573.5
1742256000000,0.524,0.525,0.508,0.509,4203131.7
1742270400000,0.509,0.512,0.501,0.508,4325395.6
1742284800000,0.508,0.515,0.503,0.506,5475079.5
1742299200000,0.505,0.509,0.496,0.497,7478258.4
1742313600000,0.497,0.502,0.491,0.5,4611490.1
1742328000000,0.501,0.515,0.495,0.515,3270555.3
1742342400000,0.515,0.522,0.511,0.522,3639543.5
1742356800000,0.521,0.523,0.511,0.512,3106506.4
1742371200000,0.512,0.543,0.511,0.543,7710888.5
1742385600000,0.543,0.55,0.535,0.544,12535517.8
1742400000000,0.544,0.549,0.531,0.54,9467785.3
1742414400000,0.541,0.55,0.539,0.55,4270218.3
1742428800000,0.55,0.553,0.54,0.541,5393015.3
1742443200000,0.541,0.544,0.536,0.537,2528567.6
1742457600000,0.536,0.541,0.525,0.525,4934563.1
1742472000000,0.525,0.539,0.523,0.525,6673486
1742486400000,0.526,0.529,0.518,0.522,4274485.2
1742500800000,0.522,0.527,0.521,0.524,2811401.1
1742515200000,0.523,0.534,0.523,0.527,2931004.1
1742529600000,0.527,0.531,0.514,0.519,2879234.3
1742544000000,0.519,0.521,0.503,0.508,6008098.4
1742558400000,0.508,0.513,0.501,0.501,4799609
1742572800000,0.502,0.511,0.498,0.507,3459543.9
1742587200000,0.507,0.512,0.5,0.502,3611429.3
1742601600000,0.502,0.509,0.501,0.506,2939197
1742616000000,0.507,0.517,0.506,0.512,3810002.6
1742630400000,0.512,0.524,0.512,0.517,3089540.3
1742644800000,0.517,0.518,0.504,0.513,2854096.9
1742659200000,0.512,0.525,0.511,0.519,3812408.2
1742673600000,0.519,0.522,0.51,0.514,2655375.7
1742688000000,0.513,0.522,0.51,0.522,2131602.3
1742702400000,0.521,0.522,0.511,0.516,2225321.7
1742716800000,0.515,0.523,0.511,0.518,2155336.7
1742731200000,0.518,0.522,0.51,0.513,2531336.4
1742745600000,0.513,0.515,0.504,0.509,2824742.6
1742760000000,0.51,0.52,0.505,0.519,2118605.6
1742774400000,0.519,0.53,0.512,0.529,4399578.7
1742788800000,0.529,0.549,0.528,0.539,6940073.7
1742803200000,0.539,0.554,0.539,0.545,6467533.9
1742817600000,0.545,0.554,0.541,0.547,8111780.4
1742832000000,0.548,0.558,0.545,0.552,6450656.8
1742846400000,0.551,0.554,0.545,0.553,3414480
1742860800000,0.553,0.556,0.544,0.546,3351824.7
1742875200000,0.546,0.559,0.545,0.551,2980021
1742889600000,0.552,0.571,0.552,0.564,5530795.7
1742904000000,0.564,0.569,0.554,0.563,7049312.9
1742918400000,0.562,0.568,0.559,0.565,3930312.9
1742932800000,0.566,0.57,0.559,0.566,2982587.2
1742947200000,0.566,0.568,0.555,0.559,2925445.1
1742961600000,0.559,0.584,0.556,0.58,5145425.3
1742976000000,0.58,0.582,0.569,0.576,5171903.4
1742990400000,0.575,0.577,0.551,0.557,7438947.4
1743004800000,0.557,0.56,0.542,0.551,6257919
1743019200000,0.551,0.559,0.546,0.551,5052729.7
1743033600000,0.551,0.566,0.55,0.564,3221303.6
1743048000000,0.564,0.565,0.552,0.555,3131065.7
1743062400000,0.555,0.557,0.541,0.543,4476214.1
1743076800000,0.542,0.554,0.535,0.548,5470787.5
1743091200000,0.548,0.552,0.541,0.548,3721823.1
1743105600000,0.548,0.555,0.545,0.549,3371885
1743120000000,0.549,0.555,0.54,0.542,3122417.1
1743134400000,0.543,0.544,0.51,0.512,7033366.8
1743148800000,0.512,0.517,0.507,0.515,5300753.5
1743163200000,0.514,0.519,0.502,0.506,6691362.3
1743177600000,0.506,0.508,0.5,0.503,3451721.3
1743192000000,0.503,0.511,0.501,0.51,3061844.5
1743206400000,0.509,0.514,0.496,0.508,3761344.2
