timestamp,open,high,low,close,volume
1741968000000,5.641,5.736,5.623,5.68,147647.01
1741982400000,5.675,5.711,5.614,5.66,142078.67
1741996800000,5.661,5.765,5.622,5.69,289650.75
1742011200000,5.69,5.737,5.646,5.66,183850.11
1742025600000,5.663,5.727,5.645,5.709,185355.08
1742040000000,5.709,5.774,5.694,5.75,196361.14
1742054400000,5.754,5.816,5.736,5.79,224834.95
1742068800000,5.795,5.923,5.789,5.827,271274.12
1742083200000,5.828,5.845,5.69,5.796,214914.41
1742097600000,5.792,5.871,5.778,5.836,199795.14
1742112000000,5.84,5.855,5.577,5.59,336642.96
1742126400000,5.591,5.658,5.543,5.603,124966.48
1742140800000,5.601,5.749,5.532,5.55,222158.09
1742155200000,5.553,5.612,5.508,5.568,79197.01
1742169600000,5.569,5.756,5.562,5.737,179399.61
1742184000000,5.737,5.763,5.622,5.711,192819.36
1742198400000,5.711,5.799,5.667,5.765,235970.89
1742212800000,5.765,5.925,5.679,5.899,471534.8
1742227200000,5.901,6.048,5.815,6.034,257526.33
1742241600000,6.036,6.092,5.891,5.891,251458.54
1742256000000,5.892,5.909,5.777,5.795,234219.37
1742270400000,5.795,5.88,5.736,5.826,247797.21
1742284800000,5.824,5.878,5.707,5.724,269318.83
1742299200000,5.723,5.75,5.622,5.646,329749.24
1742313600000,5.645,5.721,5.601,5.711,205400.31
1742328000000,5.709,5.836,5.691,5.811,200444.09
1742342400000,5.812,5.88,5.799,5.851,239521.4
1742356800000,5.855,5.87,5.789,5.792,218989.28
1742371200000,5.791,5.957,5.784,5.933,290015.56
1742385600000,5.935,5.997,5.862,5.955,356984.77
1742400000000,5.956,6.009,5.831,5.946,387559.25
1742414400000,5.946,6.002,5.916,5.988,213992.62
1742428800000,5.988,6.011,5.861,5.865,272834.28
1742443200000,5.865,5.909,5.843,5.878,218287.84
1742457600000,5.88,5.934,5.787,5.811,236554.19
1742472000000,5.811,5.894,5.783,5.787,219434.76
1742486400000,5.786,5.82,5.707,5.767,165458.64
1742500800000,5.765,5.798,5.707,5.744,89459.65
1742515200000,5.744,5.791,5.713,5.718,143474.03
1742529600000,5.723,5.75,5.686,5.704,168036.72
1742544000000,5.703,5.73,5.652,5.681,229618.12
1742558400000,5.677,5.714,5.615,5.656,168989.8
1742572800000,5.654,5.753,5.641,5.7,109616.34
1742587200000,5.699,5.747,5.648,5.652,62259.32
1742601600000,5.655,5.672,5.607,5.651,194927.93
1742616000000,5.656,5.75,5.646,5.73,167605.34
1742630400000,5.73,5.796,5.719,5.779,215268.58
1742644800000,5.781,5.791,5.703,5.749,144277.14
1742659200000,5.745,5.832,5.74,5.8,129391.05
1742673600000,5.8,5.814,5.732,5.754,84910.84
1742688000000,5.754,5.804,5.711,5.804,154892.71
1742702400000,5.805,5.856,5.746,5.83,148800.52
1742716800000,5.831,5.84,5.792,5.813,221270.64
1742731200000,5.813,5.853,5.781,5.811,157969.18
1742745600000,5.808,5.817,5.74,5.781,90829.8
1742760000000,5.782,5.84,5.777,5.834,97048.42
1742774400000,5.834,5.892,5.759,5.869,229876.08
1742788800000,5.871,6.052,5.871,6.001,286309.7
1742803200000,6,6.102,5.999,6.05,224119.19
1742817600000,6.052,6.111,5.99,6.045,228992.71
1742832000000,6.045,6.087,6.01,6.074,151181.53
1742846400000,6.074,6.082,5.999,6.053,129779.43
1742860800000,6.051,6.086,5.957,5.961,150404.28
1742875200000,5.959,6.064,5.943,6.027,159715.63
1742889600000,6.025,6.238,6.024,6.137,361087.64
1742904000000,6.137,6.156,6.068,6.115,227011.57
1742918400000,6.111,6.181,6.08,6.177,159492.7
1742932800000,6.179,6.218,6.14,6.199,176235.85
1742947200000,6.198,6.303,6.11,6.123,197276.34
1742961600000,6.121,6.305,6.114,6.275,201521.5
1742976000000,6.275,6.372,6.275,6.319,296290.18
1742990400000,6.317,6.331,6.109,6.18,263466.69
1743004800000,6.183,6.225,6.003,6.089,243860.05
1743019200000,6.087,6.151,6.009,6.079,170879.13
1743033600000,6.081,6.192,6.048,6.153,158703.18
1743048000000,6.154,6.164,6.074,6.089,124142.47
1743062400000,6.09,6.119,5.994,6.013,157108.11
1743076800000,6.012,6.088,5.94,6.046,223868.18
1743091200000,6.048,6.073,5.98,6.024,161357.7
1743105600000,6.025,6.101,6.014,6.098,150462.11
1743120000000,6.098,6.127,5.992,6.005,154109.63
1743134400000,6.005,6.007,5.695,5.705,314242.28
1743148800000,5.704,5.727,5.617,5.679,274269.16
1743163200000,5.677,5.693,5.569,5.612,245896.93
1743177600000,5.612,5.628,5.55,5.583,165333.98
1743192000000,5.584,5.647,5.566,5.598,149559.5
1743206400000,5.6,5.645,5.518,5.595,137121.23
1743220800000,5.595,5.606,5.442,5.474,136549.55
1743235200000,5.475,5.503,5.345,5.384,201741.36
1743249600000,5.386,5.466,5.373,5.384,141550.42
1743264000000,5.383,5.397,5.261,5.344,184205.4
1743278400000,5.346,5.368,5.265,5.349,123272.93
1743292800000,5.349,5.451,5.313,5.384,254295.26
1743307200000,5.383,5.444,5.373,5.412,94193.81
1743321600000,5.413,5.459,5.388,5.399,99291.43
1743336000000,5.4,5.429,5.309,5.343,164133.66
1743350400000,5.343,5.396,5.267,5.358,135566.59
1743364800000,5.357,5.358,5.197,5.27,166377.65
1743379200000,5.273,5.332,5.195,5.239,117988.19
1743393600000,5.242,5.314,5.163,5.198,103790.14
1743408000000,5.198,5.224,5.077,5.188,244675.19
1743422400000,5.187,5.392,5.141,5.346,281490.23
1743436800000,5.346,5.373,5.276,5.293,166301.65
1743451200000,5.296,5.403,5.282,5.311,183786
