timestamp,open,high,low,close,volume
1741968000000,0.875,0.886,0.869,0.875,2038342.96
1741982400000,0.875,0.882,0.865,0.867,1311994.43
1741996800000,0.867,0.875,0.859,0.875,1832664.07
1742011200000,0.875,0.883,0.87,0.871,1807202.48
1742025600000,0.87,0.877,0.865,0.868,1683712.66
1742040000000,0.868,0.875,0.863,0.872,2315083.88
1742054400000,0.872,0.883,0.866,0.872,2091002.54
1742068800000,0.872,0.896,0.872,0.887,1754273.2
1742083200000,0.887,0.892,0.867,0.874,2095630.81
1742097600000,0.874,0.887,0.869,0.882,2159771.1
1742112000000,0.881,0.884,0.838,0.841,4766367.51
1742126400000,0.841,0.845,0.822,0.834,4494259.27
1742140800000,0.833,0.855,0.822,0.828,6746353.02
1742155200000,0.828,0.837,0.821,0.831,2328866.91
1742169600000,0.83,0.865,0.83,0.864,2798964.01
1742184000000,0.865,0.875,0.854,0.869,3314365.25
1742198400000,0.869,0.878,0.863,0.869,2867205.7
1742212800000,0.868,0.88,0.858,0.874,6206430.11
1742227200000,0.874,0.915,0.87,0.908,4066194.97
1742241600000,0.908,0.913,0.885,0.887,2379649.16
1742256000000,0.887,0.888,0.866,0.873,2097657.06
1742270400000,0.872,0.881,0.867,0.873,1722211.85
1742284800000,0.873,0.886,0.859,0.862,1908935.09
1742299200000,0.861,0.867,0.846,0.848,2580357.05
1742313600000,0.848,0.856,0.837,0.854,1621646.7
1742328000000,0.855,0.874,0.848,0.874,1412153.26
1742342400000,0.874,0.89,0.868,0.889,1784051.39
1742356800000,0.89,0.892,0.87,0.87,2022263.82
1742371200000,0.87,0.933,0.87,0.929,6666459.07
1742385600000,0.929,0.937,0.91,0.925,7065149.26
1742400000000,0.926,0.928,0.895,0.911,6218241.12
1742414400000,0.912,0.927,0.911,0.921,1569105.06
1742428800000,0.921,0.926,0.902,0.907,2187655.7
1742443200000,0.906,0.908,0.896,0.899,1603227.69
1742457600000,0.899,0.906,0.88,0.889,2735386.51
1742472000000,0.889,0.9,0.881,0.882,3783005.31
1742486400000,0.882,0.885,0.868,0.878,2344314.78
1742500800000,0.877,0.886,0.873,0.881,1171110.03
1742515200000,0.88,0.888,0.872,0.874,1516650.03
1742529600000,0.874,0.88,0.862,0.865,1774639
1742544000000,0.865,0.87,0.844,0.849,2993864.02
1742558400000,0.849,0.855,0.838,0.849,2830557
1742572800000,0.849,0.859,0.848,0.855,1658490.85
1742587200000,0.854,0.863,0.845,0.847,1193723.44
1742601600000,0.847,0.859,0.847,0.858,895141.69
1742616000000,0.857,0.868,0.855,0.865,1028558.5
1742630400000,0.865,0.871,0.861,0.863,1020437.65
1742644800000,0.863,0.864,0.848,0.856,1048575.89
1742659200000,0.855,0.875,0.854,0.871,900528.3
1742673600000,0.871,0.876,0.856,0.861,771606.28
1742688000000,0.86,0.873,0.859,0.871,1046140.99
1742702400000,0.871,0.873,0.856,0.867,1381290.98
1742716800000,0.868,0.872,0.862,0.865,1288364.38
1742731200000,0.865,0.866,0.848,0.852,3702947.53
1742745600000,0.852,0.855,0.84,0.849,1662430.38
1742760000000,0.85,0.86,0.849,0.859,1081693.89
1742774400000,0.859,0.875,0.846,0.874,1780902.81
1742788800000,0.874,0.904,0.874,0.889,3550005.96
1742803200000,0.889,0.905,0.889,0.898,2236204.63
1742817600000,0.898,0.917,0.892,0.905,2343596
1742832000000,0.905,0.91,0.896,0.905,1874402.89
1742846400000,0.904,0.913,0.897,0.905,1051892.83
1742860800000,0.905,0.911,0.885,0.887,1991926.76
1742875200000,0.888,0.908,0.886,0.9,963436.17
1742889600000,0.899,0.916,0.899,0.904,1728548.8
1742904000000,0.904,0.91,0.887,0.897,3960386.22
1742918400000,0.897,0.908,0.891,0.901,1132916.59
1742932800000,0.901,0.915,0.899,0.904,1343538.45
1742947200000,0.904,0.915,0.892,0.895,1241529.04
1742961600000,0.895,0.928,0.893,0.926,1293872.61
1742976000000,0.926,0.931,0.917,0.922,1253221.01
1742990400000,0.923,0.924,0.882,0.893,2204156.14
1743004800000,0.893,0.902,0.875,0.887,1784681.11
1743019200000,0.887,0.898,0.878,0.886,1332096.57
1743033600000,0.885,0.92,0.883,0.917,1726223.18
1743048000000,0.918,0.919,0.906,0.91,919262.95
1743062400000,0.91,0.919,0.893,0.895,1639291.74
1743076800000,0.895,0.921,0.884,0.919,2885722.71
1743091200000,0.919,0.93,0.902,0.908,2216578.73
1743105600000,0.908,0.916,0.903,0.905,725086.9
1743120000000,0.905,0.913,0.893,0.898,1028645.51
1743134400000,0.897,0.899,0.846,0.849,3909736.21
1743148800000,0.848,0.854,0.83,0.84,2521241.16
1743163200000,0.84,0.842,0.82,0.83,3332055.91
1743177600000,0.829,0.834,0.821,0.826,1217875.21
1743192000000,0.826,0.837,0.82,0.833,1028358.49
1743206400000,0.832,0.839,0.809,0.825,1372410.34
1743220800000,0.824,0.826,0.793,0.797,1725467.52
1743235200000,0.797,0.806,0.776,0.783,2545628.61
1743249600000,0.783,0.792,0.772,0.773,1532311.01
1743264000000,0.774,0.778,0.752,0.768,2865778.84
1743278400000,0.768,0.768,0.754,0.766,1579431.89
1743292800000,0.766,0.78,0.757,0.769,2035712.36
1743307200000,0.768,0.775,0.759,0.76,1305464.75
1743321600000,0.761,0.772,0.756,0.759,1484282.09
1743336000000,0.759,0.763,0.744,0.753,2432747.7
1743350400000,0.753,0.765,0.738,0.756,1706890.52
1743364800000,0.757,0.76,0.734,0.743,1593804.56
1743379200000,0.744,0.755,0.732,0.741,2182364.4
1743393600000,0.74,0.752,0.726,0.73,1520299.9
1743408000000,0.73,0.743,0.718,0.737,2457404.63
1743422400000,0.737,0.76,0.734,0.748,3204761.11
1743436800000,0.748,0.751,0.735,0.739,1413393.16
1743451200000,0.74,0.745,0.729,0.734,2653854.26
1743465600000,0.733,0.754,0.731,0.748,1620137.82
1743480000000,0.749,0.76,0.745,0.755,1530018.73
1743494400000,0.755,0.773,0.747,0.75,2612871.95
1743508800000,0.75,0.775,0.742,0.767,3825818.94
1743523200000,0.766,0.773,0.752,0.755,2078573.46
1743537600000,0.754,0.763,0.749,0.757,1173541.99
1743552000000,0.757,0.757,0.73,0.743,2189711.96
1743566400000,0.743,0.745,0.729,0.733,2284176.85
1743580800000,0.733,0.744,0.729,0.731,1428158.65
1743595200000,0.732,0.755,0.721,0.745,4035520.34
1743609600000,0.746,0.752,0.728,0.742,1575941.77
1743624000000,0.742,0.76,0.697,0.701,11834978.68
1743638400000,0.701,0.724,0.699,0.722,2572596.73
1743652800000,0.722,0.728,0.699,0.704,2060530
1743667200000,0.705,0.709,0.671,0.675,5553943.34
1743681600000,0.675,0.681,0.657,0.675,6937531.84
