timestamp,open,high,low,close,volume
1741968000000,3.128,3.231,3.103,3.19,730489.7
1741982400000,3.187,3.225,3.125,3.159,724720.21
1741996800000,3.159,3.247,3.151,3.241,387699.51
1742011200000,3.24,3.249,3.173,3.175,481064.45
1742025600000,3.176,3.247,3.154,3.236,291348.12
1742040000000,3.235,3.271,3.22,3.234,324701.25
1742054400000,3.235,3.3,3.213,3.234,467404.09
1742068800000,3.234,3.339,3.234,3.259,423694.78
1742083200000,3.26,3.282,3.203,3.275,353426.16
1742097600000,3.274,3.29,3.248,3.268,170793.26
1742112000000,3.268,3.272,3.118,3.135,627538.2
1742126400000,3.135,3.168,3.083,3.106,595964.48
1742140800000,3.106,3.212,3.086,3.106,608570.77
1742155200000,3.108,3.14,3.069,3.107,345027.83
1742169600000,3.108,3.217,3.105,3.191,397193.05
1742184000000,3.191,3.21,3.111,3.18,259001.21
1742198400000,3.18,3.236,3.148,3.225,347733.33
1742212800000,3.225,3.28,3.153,3.228,939730.53
1742227200000,3.229,3.325,3.201,3.288,712907.02
1742241600000,3.289,3.298,3.216,3.221,319644.19
1742256000000,3.221,3.238,3.139,3.151,398969.51
1742270400000,3.15,3.161,3.096,3.141,404804.13
1742284800000,3.142,3.188,3.107,3.123,427660.72
1742299200000,3.12,3.151,3.058,3.079,615422.64
1742313600000,3.079,3.133,3.076,3.127,369498.38
1742328000000,3.128,3.251,3.106,3.23,446834
1742342400000,3.229,3.287,3.202,3.269,444736.7
1742356800000,3.269,3.276,3.215,3.216,279958.88
1742371200000,3.216,3.36,3.216,3.341,894890.46
1742385600000,3.341,3.388,3.295,3.371,1307727.54
1742400000000,3.371,3.392,3.258,3.328,1394218.2
1742414400000,3.329,3.436,3.305,3.429,755835.44
1742428800000,3.431,3.474,3.366,3.376,535966.69
1742443200000,3.376,3.384,3.322,3.333,320614.36
1742457600000,3.333,3.366,3.262,3.299,421555.89
1742472000000,3.298,3.359,3.261,3.266,617454.89
1742486400000,3.265,3.313,3.216,3.301,654402.95
1742500800000,3.301,3.332,3.297,3.318,261687.98
1742515200000,3.317,3.331,3.271,3.286,257398.65
1742529600000,3.286,3.324,3.264,3.279,282944.65
1742544000000,3.279,3.297,3.211,3.217,366398.32
1742558400000,3.217,3.244,3.151,3.153,531074.66
1742572800000,3.153,3.231,3.145,3.206,514696.87
1742587200000,3.207,3.264,3.199,3.212,286171.72
1742601600000,3.212,3.258,3.209,3.245,179627.87
1742616000000,3.245,3.281,3.242,3.263,223859.53
1742630400000,3.262,3.328,3.245,3.305,246732.78
1742644800000,3.306,3.338,3.28,3.303,340075.48
1742659200000,3.303,3.36,3.297,3.344,307780.86
1742673600000,3.344,3.369,3.299,3.316,500448.11
1742688000000,3.316,3.367,3.301,3.367,241507.12
1742702400000,3.366,3.369,3.305,3.344,205807.67
1742716800000,3.344,3.381,3.334,3.345,196638.87
1742731200000,3.345,3.369,3.318,3.335,240657.52
1742745600000,3.334,3.341,3.279,3.339,372376.52
1742760000000,3.34,3.471,3.339,3.471,501104.1
1742774400000,3.47,3.599,3.462,3.595,1203048.92
1742788800000,3.596,3.736,3.59,3.715,927186.75
1742803200000,3.715,3.966,3.715,3.855,2286618.11
1742817600000,3.855,3.946,3.792,3.849,1518605.36
1742832000000,3.849,3.872,3.808,3.834,686599.44
1742846400000,3.834,3.836,3.739,3.789,701405.83
1742860800000,3.788,3.828,3.746,3.789,494684.18
1742875200000,3.788,3.844,3.777,3.828,393986.4
1742889600000,3.828,3.994,3.827,3.991,836909.12
1742904000000,3.992,4.138,3.96,4.048,1963983.16
1742918400000,4.048,4.123,4.042,4.105,826441.4
1742932800000,4.105,4.128,4.011,4.038,712548.53
1742947200000,4.037,4.215,4.018,4.059,923292.27
1742961600000,4.059,4.189,4.055,4.172,697787.59
1742976000000,4.172,4.185,4.107,4.151,610576.64
1742990400000,4.15,4.188,3.93,3.978,1556814.1
1743004800000,3.977,4.034,3.888,3.975,1016434.2
1743019200000,3.973,4.007,3.894,3.922,643703.41
1743033600000,3.922,4.042,3.918,4.014,477701.03
1743048000000,4.015,4.021,3.948,3.977,422858.48
1743062400000,3.977,3.989,3.91,3.92,478749.26
1743076800000,3.92,4.007,3.869,3.931,1195080.37
1743091200000,3.93,3.982,3.904,3.932,443607.6
1743105600000,3.933,3.98,3.908,3.923,265893.27
1743120000000,3.924,3.977,3.886,3.957,419723.43
1743134400000,3.958,3.974,3.745,3.746,1010875.99
1743148800000,3.745,3.779,3.674,3.752,991467.11
1743163200000,3.751,3.785,3.671,3.679,964203.61
1743177600000,3.679,3.689,3.589,3.599,964150.63
1743192000000,3.599,3.763,3.599,3.728,580605.92
1743206400000,3.728,3.822,3.677,3.743,746135.17
1743220800000,3.743,3.761,3.611,3.632,354509.71
1743235200000,3.632,3.657,3.535,3.561,813550.75
1743249600000,3.563,3.662,3.548,3.574,431611.81
1743264000000,3.575,3.602,3.489,3.542,675867.33
1743278400000,3.542,3.547,3.45,3.506,615223.23
1743292800000,3.507,3.539,3.422,3.506,871408.7
1743307200000,3.507,3.562,3.49,3.529,293915.07
1743321600000,3.529,3.603,3.529,3.581,518421.55
1743336000000,3.582,3.61,3.474,3.528,523390.4
1743350400000,3.525,3.557,3.429,3.526,416094.73
1743364800000,3.526,3.527,3.386,3.414,483663.36
1743379200000,3.415,3.51,3.37,3.416,705678.96
1743393600000,3.416,3.544,3.382,3.405,922824.77
1743408000000,3.405,3.43,3.29,3.384,1079917.73
1743422400000,3.383,3.558,3.363,3.496,1251971.24
1743436800000,3.497,3.518,3.396,3.418,592788.31
1743451200000,3.418,3.46,3.38,3.404,474040.78
1743465600000,3.403,3.507,3.384,3.474,446385.43
1743480000000,3.475,3.567,3.459,3.538,462410.96
1743494400000,3.536,3.703,3.536,3.621,1089702.33
1743508800000,3.621,3.794,3.546,3.762,1374347.25
1743523200000,3.763,3.783,3.657,3.751,1016866.21
1743537600000,3.75,3.782,3.688,3.693,574791.78
1743552000000,3.692,3.745,3.515,3.544,947397.2
1743566400000,3.543,3.557,3.451,3.5,692894.9
1743580800000,3.5,3.585,3.456,3.498,743917.36
1743595200000,3.499,3.752,3.468,3.715,1656022.3
1743609600000,3.716,3.803,3.645,3.727,1085927.7
1743624000000,3.727,3.827,3.259,3.31,3216969.05
1743638400000,3.311,3.422,3.268,3.361,974569.66
1743652800000,3.362,3.383,3.295,3.326,601243.94
1743667200000,3.326,3.35,3.162,3.179,1132659.11
1743681600000,3.179,3.209,3.083,3.206,1624550.77
1743696000000,3.207,3.284,3.19,3.225,1102457.54
1743710400000,3.226,3.337,3.211,3.302,817869.14
1743724800000,3.303,3.321,3.219,3.24,620311.88
1743739200000,3.241,3.297,3.212,3.284,638370.77
1743753600000,3.284,3.329,3.104,3.168,1210939.97
1743768000000,3.167,3.268,3.121,3.201,1829783.91
1743782400000,3.202,3.301,3.185,3.25,1158722.45
1743796800000,3.249,3.278,3.21,3.232,339282.97
1743811200000,3.232,3.257,3.196,3.2,310389.24
1743825600000,3.201,3.214,3.165,3.205,228026.6
1743840000000,3.206,3.231,3.167,3.167,350902.64
1743854400000,3.168,3.178,3.1,3.11,361465.03
1743868800000,3.11,3.166,3.101,3.129,263751.47
1743883200000,3.128,3.175,3.114,3.166,325532.85
1743897600000,3.166,3.18,3.116,3.139,372378.5
1743912000000,3.139,3.154,3.082,3.085,272843.64
1743926400000,3.085,3.086,3.028,3.063,749833.77
1743940800000,3.062,3.069,2.947,2.994,931464.41
1743955200000,2.993,2.996,2.759,2.816,1931821.32
1743969600000,2.815,2.837,2.714,2.784,1981911.71
1743984000000,2.784,2.877,2.7,2.749,1379062.89
1743998400000,2.749,2.792,2.504,2.562,3043084.73
1744012800000,2.561,2.749,2.551,2.68,1770155.44
1744027200000,2.681,3.053,2.668,2.88,5298253.44
1744041600000,2.879,2.956,2.805,2.881,1682113.15
