timestamp,open,high,low,close,volume
1757387100000,212.07,212.08,211.74,211.96,8688.527
1757387400000,211.96,212.42,211.95,212.34,11960.719
1757387700000,212.33,212.33,212,212.19,6551.287
1757388000000,212.18,212.19,211.89,212.15,4653.78
1757388300000,212.15,212.82,212.04,212.81,12419.935
1757388600000,212.8,213.17,212.69,212.84,17047.47
1757388900000,212.84,213.07,212.71,212.89,5090.271
1757389200000,212.9,213.78,212.89,213.61,16487.582
1757389500000,213.61,213.94,213.36,213.92,6059.386
1757389800000,213.91,214.1,213.76,214.02,18260.325
1757390100000,214.02,214.78,213.8,214.63,44581.899
1757390400000,214.62,214.62,214.01,214.21,9581.215
1757390700000,214.21,214.44,213.96,214.12,4172.961
1757391000000,214.12,214.57,214.02,214.14,5502.352
1757391300000,214.15,215.05,214.14,214.88,27183.903
1757391600000,214.88,215.46,214.67,215.05,18670.237
1757391900000,215.04,215.44,214.9,215.15,26401.43
1757392200000,215.15,215.57,215.1,215.31,12523.384
1757392500000,215.31,215.69,215.01,215.06,30536.355
1757392800000,215.06,215.18,214.83,215.04,12701.575
1757393100000,215.03,215.15,214.35,214.62,30688.052
1757393400000,214.63,214.97,214.23,214.78,11934.646
1757393700000,214.77,215.14,214.62,214.85,7788.988
1757394000000,214.85,214.9,214.41,214.52,8535.378
1757394300000,214.52,214.69,214.35,214.45,3719.672
1757394600000,214.45,214.53,214.28,214.5,4414.316
1757394900000,214.49,214.54,214.21,214.43,3242.457
1757395200000,214.43,214.66,214.05,214.24,18208.446
1757395500000,214.24,214.43,214.13,214.43,2854.65
1757395800000,214.43,214.58,214.32,214.51,7434.602
1757396100000,214.5,214.5,214.19,214.23,14985.861
1757396400000,214.22,214.58,214.19,214.58,4482.607
1757396700000,214.58,214.97,214.57,214.82,7971.571
1757397000000,214.82,215.1,214.79,214.98,7822.546
1757397300000,214.97,215.45,214.97,215.23,8380.408
1757397600000,215.23,215.5,215.02,215.32,4329.65
1757397900000,215.32,215.68,215.32,215.55,8318.623
1757398200000,215.54,217.44,215.54,217.11,63253.501
1757398500000,217.1,218.73,217.09,218.09,139216.464
1757398800000,218.1,218.4,217.72,217.89,35457.255
1757399100000,217.89,218.14,217.62,218.04,19711.638
1757399400000,218.04,218.76,217.94,218.65,30501.283
1757399700000,218.65,219.76,218.65,219.2,78401.517
1757400000000,219.2,219.42,218.89,218.92,19562.898
1757400300000,218.93,219.43,218.79,218.9,24777.111
1757400600000,218.9,219.4,218.77,218.89,16604.126
1757400900000,218.89,219.14,218.38,218.43,20811.081
1757401200000,218.43,218.85,218.38,218.8,20965.364
1757401500000,218.79,219.1,218.66,219.09,12750.327
1757401800000,219.09,219.46,218.95,219.14,39043.919
1757402100000,219.14,219.41,218.94,219.21,15783.701
1757402400000,219.2,219.3,219.12,219.16,9589.319
1757402700000,219.15,219.6,219.15,219.58,20321.335
1757403000000,219.59,219.74,219.26,219.48,19125.185
1757403300000,219.47,219.79,219.17,219.19,20462.476
1757403600000,219.19,219.21,218.56,218.6,31304.148
1757403900000,218.59,218.97,218.3,218.93,34113.084
1757404200000,218.92,219.48,218.88,219.08,27825.713
1757404500000,219.08,219.3,218.85,219.23,21291.264
1757404800000,219.23,219.45,218.8,218.94,18302.588
1757405100000,218.94,219.02,218.6,218.61,16735.425
1757405400000,218.6,219.13,218.6,218.86,12187.726
1757405700000,218.86,219.02,218.46,218.58,11462.57
1757406000000,218.57,219.06,218.49,219.01,15475.179
1757406300000,219,219.23,218.91,219.07,6291.899
1757406600000,219.07,219.4,219.07,219.1,16634.847
1757406900000,219.1,219.27,219.1,219.2,11060.483
1757407200000,219.2,219.5,218.97,219.12,16367.597
1757407500000,219.11,219.2,218.57,218.78,10878.257
1757407800000,218.77,218.95,218.58,218.8,7656.534
1757408100000,218.8,219,218.75,218.99,5998.277
1757408400000,218.99,219.1,218.61,218.62,8073.389
1757408700000,218.61,218.82,218.59,218.65,7235.713
1757409000000,218.65,218.8,218.52,218.69,8208.269
1757409300000,218.68,219.02,218.66,218.85,7174.209
1757409600000,218.84,219.05,218.7,218.84,6848.308
1757409900000,218.84,219.17,218.81,219.17,5877.641
1757410200000,219.16,219.25,218.87,218.91,7592.803
1757410500000,218.9,219.13,218.86,219.11,7245.187
1757410800000,219.1,219.29,219,219.13,8659.842
1757411100000,219.13,219.22,218.71,218.8,16489.483
1757411400000,218.79,219.06,218.79,218.91,8783.006
1757411700000,218.92,219.09,218.88,218.98,7515.67
1757412000000,218.98,219.15,218.85,218.87,6693.45
1757412300000,218.88,219.19,218.87,219.05,5620.596
1757412600000,219.05,219.1,218.88,219,10183.648
1757412900000,218.99,219.02,218.74,218.86,6533.307
1757413200000,218.85,219.01,218.53,218.59,11503.396
1757413500000,218.58,218.68,218.24,218.26,8827.991
1757413800000,218.26,218.38,217.87,217.98,27370.451
1757414100000,217.98,218.42,217.93,218.37,14231.136
1757414400000,218.36,218.62,218.36,218.47,7709.374
1757414700000,218.46,218.5,218.09,218.39,20462.416
1757415000000,218.39,218.4,217.42,217.56,24257.877
1757415300000,217.57,217.77,217.54,217.75,10799.399
1757415600000,217.75,217.8,217.49,217.75,10285.682
1757415900000,217.74,217.82,217.59,217.67,6907.18
1757416200000,217.67,217.9,217.58,217.58,6646.167
1757416500000,217.58,217.73,217.18,217.25,16197.781
1757416800000,217.24,217.54,217,217.47,12838.306
1757417100000,217.47,217.61,217.25,217.52,10566.985
1757417400000,217.51,217.53,217.16,217.22,7228.696
1757417700000,217.22,217.42,217.1,217.33,6277.906
1757418000000,217.32,217.75,217.32,217.69,8793.998
1757418300000,217.69,218.04,217.68,218.03,10276.642
1757418600000,218.03,218.03,217.51,217.52,6090.979
1757418900000,217.51,217.52,217.2,217.25,5583.755
1757419200000,217.24,217.28,216.61,217.17,18159.557
1757419500000,217.16,217.57,216.84,217.56,17852.027
1757419800000,217.56,218.03,217.56,217.9,12998.233
1757420100000,217.9,218.36,217.73,218.03,15318.165
1757420400000,218.03,218.34,217.96,218.04,13068.537
1757420700000,218.04,218.24,217.82,218.23,7264.604
1757421000000,218.23,218.29,217.56,217.56,8578.755
1757421300000,217.56,218.04,217.41,217.74,10585.875
1757421600000,217.74,217.77,216.91,216.99,31065.901
1757421900000,216.99,217.46,216.96,217.17,9333.648
1757422200000,217.17,217.59,217,217.58,7805.663
1757422500000,217.57,217.69,217.29,217.64,5617.329
1757422800000,217.64,217.9,216.96,217.09,15421.577
1757423100000,217.09,217.26,216.44,216.95,25986.385
1757423400000,216.95,217.19,216.32,217.18,39567.238
1757423700000,217.18,217.19,216.45,216.52,12758.891
1757424000000,216.53,216.87,216.3,216.69,13566.009
1757424300000,216.7,217.44,216.7,217.3,10611.096
1757424600000,217.29,218.04,217.13,217.22,15350.341
1757424900000,217.22,217.94,217.2,217.68,12347.906
1757425200000,217.68,218.07,217.6,217.82,12833.413
1757425500000,217.82,218.48,217.8,218.1,18387.426
1757425800000,218.1,218.4,217.92,218.06,14584.796
1757426100000,218.05,218.25,217.83,218.03,13207.853
1757426400000,218.04,218.54,215.77,216.43,105461.502
1757426700000,216.44,216.89,215.33,216.07,58866.218
1757427000000,216.07,217.8,215.95,217.76,40711.198
1757427300000,217.76,217.79,216.6,216.96,20488.19
1757427600000,216.96,216.99,215.7,216.22,45778.178
1757427900000,216.22,216.51,215.77,216.28,12123.942
1757428200000,216.27,216.27,213.35,213.63,109776.706
1757428500000,213.63,214.9,213.23,214.8,121244.698
1757428800000,214.8,214.81,214.24,214.51,19437.489
1757429100000,214.5,215.5,214.35,215.14,20995.125
1757429400000,215.14,215.81,214.65,215.79,22424.423
1757429700000,215.79,215.83,215.39,215.49,8853.74
1757430000000,215.49,215.8,214.26,214.36,24795.567
1757430300000,214.35,214.79,213.94,214,36486.281
1757430600000,214,214.24,213.59,213.79,70083.088
1757430900000,213.79,214.15,213.37,213.46,98365.571
1757431200000,213.46,213.93,213.42,213.61,60597.401
1757431500000,213.61,213.79,213.36,213.51,20690.379
1757431800000,213.51,213.58,212.65,213.48,53244.938
1757432100000,213.48,213.51,212.12,212.18,30444.782
1757432400000,212.19,212.39,211.78,212.17,30768.09
1757432700000,212.18,212.56,211.69,212.05,58470.267
1757433000000,212.05,213.37,211.81,213.23,35180.575
1757433300000,213.23,213.31,212.91,213.07,41219.894
1757433600000,213.07,213.86,213,213.8,18411.27
1757433900000,213.8,213.8,213.22,213.39,17747.049
1757434200000,213.4,214.18,213.27,214.14,20673.305
1757434500000,214.13,214.53,214.04,214.08,22886.289
1757434800000,214.08,214.35,213.48,214.35,11446.862
1757435100000,214.34,214.7,213.71,213.79,15514.689
1757435400000,213.79,214.19,213.68,214.19,6129.95
1757435700000,214.19,214.47,214.1,214.47,9997.841
1757436000000,214.47,214.98,214.38,214.63,16341.488
1757436300000,214.63,214.85,214.1,214.27,26844.228
1757436600000,214.26,214.48,214.04,214.24,5602.966
1757436900000,214.23,214.41,214.12,214.17,3933.903
1757437200000,214.16,215.18,214.13,215.15,18550.345
1757437500000,215.16,215.46,214.93,215.46,12014.896
1757437800000,215.45,215.69,215.36,215.42,15495.08
1757438100000,215.42,215.52,214.68,214.68,14726.293
1757438400000,214.69,214.96,214.49,214.92,22296.871
1757438700000,214.92,214.95,214.29,214.32,6538.589
1757439000000,214.32,214.85,214.14,214.36,20333.139
1757439300000,214.37,214.37,214.02,214.21,7391.237
1757439600000,214.21,214.75,214.17,214.69,4574.212
1757439900000,214.69,215.21,214.64,214.97,7542.818
1757440200000,214.98,215.05,214.78,214.88,4390.08
1757440500000,214.87,214.9,214.69,214.9,3719.877
1757440800000,214.9,215.07,214.45,214.75,4776.203
1757441100000,214.76,215.07,214.65,215.07,4776.044
1757441400000,215.06,215.09,214.74,214.95,7262.471
1757441700000,214.95,215.3,214.9,215.04,10291.521
1757442000000,215.04,215.64,215.03,215.64,11262.61
1757442300000,215.64,216.91,215.64,216.9,174445.702
1757442600000,216.9,216.91,216.06,216.27,26956.698
