timestamp,open,high,low,close,volume
1741968000000,0.651,0.655,0.644,0.647,576960.4
1741982400000,0.647,0.649,0.64,0.64,567553.9
1741996800000,0.641,0.652,0.639,0.65,579208.4
1742011200000,0.65,0.661,0.644,0.646,947331.9
1742025600000,0.647,0.653,0.643,0.651,488843
1742040000000,0.651,0.656,0.648,0.655,479752.7
1742054400000,0.655,0.66,0.651,0.655,541235.6
1742068800000,0.655,0.665,0.654,0.657,404569.5
1742083200000,0.657,0.658,0.644,0.651,525609.1
1742097600000,0.651,0.656,0.646,0.648,376677.4
1742112000000,0.649,0.65,0.622,0.624,917852.2
1742126400000,0.624,0.63,0.615,0.627,1349217.3
1742140800000,0.626,0.641,0.615,0.618,1086999.7
1742155200000,0.619,0.623,0.611,0.618,808380.7
1742169600000,0.617,0.634,0.617,0.633,633560
1742184000000,0.634,0.636,0.621,0.628,1578260.9
1742198400000,0.628,0.637,0.624,0.633,1238183.9
1742212800000,0.633,0.644,0.619,0.627,2457771.6
1742227200000,0.627,0.644,0.623,0.639,1793409.7
1742241600000,0.639,0.646,0.624,0.626,1069730.6
1742256000000,0.626,0.626,0.604,0.606,1406706.4
1742270400000,0.606,0.613,0.6,0.609,1457341.2
1742284800000,0.608,0.614,0.6,0.601,900451.9
1742299200000,0.601,0.604,0.59,0.592,2818884.6
1742313600000,0.591,0.606,0.587,0.605,1077273.4
1742328000000,0.605,0.619,0.601,0.615,767688.9
1742342400000,0.615,0.622,0.611,0.618,527977.1
1742356800000,0.619,0.626,0.617,0.619,945480.9
1742371200000,0.619,0.64,0.618,0.637,1406708.6
1742385600000,0.638,0.649,0.631,0.645,3137786.2
1742400000000,0.646,0.666,0.638,0.66,3134767.5
1742414400000,0.661,0.669,0.656,0.661,1044434
1742428800000,0.661,0.667,0.649,0.652,1068697.8
1742443200000,0.652,0.655,0.643,0.651,1380804.1
1742457600000,0.651,0.655,0.636,0.64,781533.6
1742472000000,0.641,0.651,0.633,0.636,1404893.3
1742486400000,0.635,0.641,0.63,0.636,997020.4
1742500800000,0.636,0.646,0.636,0.644,460002.2
1742515200000,0.645,0.65,0.634,0.637,1456678.6
1742529600000,0.637,0.642,0.628,0.632,622106.4
1742544000000,0.632,0.634,0.616,0.619,869355.8
1742558400000,0.619,0.623,0.612,0.617,1085002.2
1742572800000,0.617,0.626,0.614,0.62,911339.9
1742587200000,0.62,0.626,0.617,0.62,511600.8
1742601600000,0.62,0.622,0.615,0.621,671338.9
1742616000000,0.621,0.631,0.619,0.629,595707.8
1742630400000,0.628,0.633,0.625,0.631,450602.3
1742644800000,0.631,0.631,0.622,0.626,477684.1
1742659200000,0.625,0.632,0.622,0.627,803528.2
1742673600000,0.628,0.629,0.618,0.621,296925.4
1742688000000,0.62,0.627,0.618,0.627,496739.2
1742702400000,0.627,0.633,0.624,0.631,305448.3
1742716800000,0.631,0.646,0.63,0.64,1003380.3
1742731200000,0.64,0.641,0.631,0.632,636199
1742745600000,0.632,0.634,0.621,0.626,751248.4
1742760000000,0.626,0.632,0.622,0.632,442673.7
1742774400000,0.631,0.642,0.623,0.642,974811.5
1742788800000,0.643,0.669,0.643,0.664,1692611.4
1742803200000,0.665,0.681,0.665,0.681,1821553.6
1742817600000,0.681,0.695,0.67,0.686,2149366.5
1742832000000,0.686,0.693,0.681,0.688,1123140.5
1742846400000,0.688,0.695,0.678,0.685,1367159
1742860800000,0.685,0.7,0.675,0.678,1296563.9
1742875200000,0.679,0.702,0.677,0.687,1895021.9
1742889600000,0.688,0.698,0.687,0.696,767621.8
1742904000000,0.696,0.709,0.688,0.702,965664.7
1742918400000,0.702,0.703,0.692,0.699,499308
1742932800000,0.7,0.706,0.692,0.699,619378.5
1742947200000,0.699,0.743,0.695,0.743,3094065.8
1742961600000,0.742,0.758,0.723,0.734,3480277.9
1742976000000,0.734,0.738,0.728,0.73,669637.1
1742990400000,0.73,0.731,0.704,0.715,1807455.2
1743004800000,0.714,0.735,0.712,0.73,1616048.8
1743019200000,0.73,0.737,0.711,0.721,1055642.5
1743033600000,0.721,0.77,0.72,0.766,1771834.6
1743048000000,0.767,0.772,0.741,0.75,1203077
1743062400000,0.749,0.751,0.734,0.737,993658.3
1743076800000,0.736,0.741,0.719,0.729,1396189.2
1743091200000,0.728,0.733,0.718,0.725,511609
