timestamp,open,high,low,close,volume
1741968000000,3.619,3.672,3.548,3.577,1094241.17
1741982400000,3.576,3.6,3.517,3.529,526214.15
1741996800000,3.528,3.542,3.496,3.531,379402.88
1742011200000,3.531,3.574,3.508,3.569,400249.06
1742025600000,3.571,3.758,3.57,3.716,1147428.69
1742040000000,3.717,3.755,3.628,3.642,548073.54
1742054400000,3.643,3.697,3.634,3.641,408465.09
1742068800000,3.644,3.696,3.615,3.617,320664.54
1742083200000,3.619,3.653,3.594,3.637,386297.95
1742097600000,3.637,3.686,3.619,3.621,186504.96
1742112000000,3.623,3.629,3.489,3.492,519713.19
1742126400000,3.493,3.54,3.418,3.451,567085.31
1742140800000,3.451,3.545,3.399,3.406,837518.71
1742155200000,3.407,3.437,3.37,3.386,427360.87
1742169600000,3.386,3.46,3.383,3.432,457342.42
1742184000000,3.433,3.442,3.365,3.429,640060.16
1742198400000,3.429,3.449,3.374,3.398,481321.11
1742212800000,3.397,3.433,3.341,3.378,775329.28
1742227200000,3.379,3.506,3.347,3.472,735852.38
1742241600000,3.473,3.477,3.368,3.388,580057.19
1742256000000,3.389,3.454,3.347,3.373,658797.54
1742270400000,3.372,3.439,3.328,3.357,716862.97
1742284800000,3.358,3.407,3.237,3.249,1453317.19
1742299200000,3.249,3.258,3.13,3.145,2316459.51
1742313600000,3.145,3.195,3.122,3.192,812916.17
1742328000000,3.193,3.241,3.163,3.231,524625.2
1742342400000,3.232,3.312,3.193,3.297,912956.73
1742356800000,3.297,3.325,3.254,3.293,636907.25
1742371200000,3.293,3.346,3.259,3.327,1232232.36
1742385600000,3.329,3.36,3.259,3.282,1456596.17
1742400000000,3.281,3.368,3.232,3.323,1213761.85
1742414400000,3.323,3.458,3.322,3.418,1649669.11
1742428800000,3.418,3.46,3.284,3.35,759265.53
1742443200000,3.349,3.352,3.3,3.313,343022.81
1742457600000,3.313,3.351,3.254,3.258,544466.13
1742472000000,3.26,3.368,3.25,3.33,804940.65
1742486400000,3.328,3.386,3.265,3.365,588342.33
1742500800000,3.367,3.381,3.347,3.351,308648.95
1742515200000,3.351,3.392,3.337,3.371,403304.94
1742529600000,3.372,3.425,3.342,3.412,531624.35
1742544000000,3.413,3.457,3.276,3.288,900447.47
1742558400000,3.288,3.342,3.251,3.316,449180.48
1742572800000,3.316,3.449,3.287,3.392,737400.66
1742587200000,3.39,3.425,3.292,3.296,581626.25
1742601600000,3.295,3.332,3.264,3.329,298357.39
1742616000000,3.329,3.426,3.325,3.42,347399.85
1742630400000,3.421,3.45,3.381,3.389,373694.13
1742644800000,3.388,3.431,3.37,3.425,260415.01
1742659200000,3.425,3.493,3.404,3.423,1108925.48
1742673600000,3.425,3.433,3.376,3.381,271412.99
1742688000000,3.381,3.408,3.321,3.406,532740.82
1742702400000,3.406,3.411,3.352,3.409,208916.52
1742716800000,3.408,3.475,3.397,3.462,457371.22
1742731200000,3.462,3.493,3.437,3.471,427972.69
1742745600000,3.472,3.532,3.443,3.507,917137.87
1742760000000,3.508,3.597,3.489,3.545,950274.16
1742774400000,3.545,3.635,3.512,3.588,953122.77
1742788800000,3.587,3.683,3.567,3.619,707066.53
1742803200000,3.62,3.664,3.59,3.594,582562.78
1742817600000,3.597,3.727,3.58,3.679,1363256.09
1742832000000,3.679,3.714,3.618,3.67,430068.7
1742846400000,3.671,3.686,3.616,3.647,320395.92
1742860800000,3.646,3.691,3.615,3.646,341863.48
1742875200000,3.647,3.706,3.625,3.685,290353.1
1742889600000,3.684,3.755,3.633,3.676,1007275.25
1742904000000,3.674,3.699,3.607,3.623,854628.66
1742918400000,3.623,3.69,3.619,3.685,325778.69
1742932800000,3.685,3.705,3.644,3.687,358048.35
1742947200000,3.686,3.724,3.624,3.63,247708.53
1742961600000,3.631,3.707,3.604,3.707,438739.82
1742976000000,3.707,3.715,3.653,3.674,409221.71
1742990400000,3.674,3.681,3.492,3.542,951994.61
1743004800000,3.541,3.547,3.467,3.523,549301
1743019200000,3.523,3.634,3.518,3.583,850490.08
1743033600000,3.583,3.765,3.576,3.719,822843.84
1743048000000,3.72,3.778,3.673,3.699,470816.15
1743062400000,3.699,3.8,3.657,3.689,749859.61
1743076800000,3.689,3.813,3.624,3.774,1250820.67
1743091200000,3.775,3.806,3.675,3.678,566555.43
1743105600000,3.68,3.734,3.672,3.709,290329.59
1743120000000,3.709,3.813,3.647,3.752,558126.52
1743134400000,3.751,3.762,3.593,3.63,1288643.33
1743148800000,3.629,3.694,3.571,3.617,868523.33
1743163200000,3.617,3.642,3.505,3.514,693094.81
1743177600000,3.515,3.529,3.376,3.388,504582.63
1743192000000,3.389,3.449,3.389,3.429,341477.61
1743206400000,3.43,3.475,3.366,3.431,314695.26
1743220800000,3.43,3.433,3.295,3.312,518407.61
1743235200000,3.311,3.33,3.227,3.249,382804.09
1743249600000,3.251,3.292,3.198,3.2,423569.63
