timestamp,open,high,low,close,volume
1741968000000,5.983,6.141,5.944,6.072,686690.65
1741982400000,6.071,6.115,6.022,6.026,181969.52
1741996800000,6.028,6.094,5.995,6.084,257761.71
1742011200000,6.084,6.176,6.061,6.097,413973.5
1742025600000,6.097,6.163,6.073,6.146,207560.96
1742040000000,6.144,6.156,6.089,6.13,400587.98
1742054400000,6.131,6.199,6.114,6.142,364123.62
1742068800000,6.143,6.326,6.143,6.271,505005.8
1742083200000,6.272,6.284,6.145,6.235,310166.11
1742097600000,6.234,6.294,6.218,6.273,301068.71
1742112000000,6.274,6.285,6.007,6.027,630673.81
1742126400000,6.027,6.082,5.973,6.047,873782.49
1742140800000,6.045,6.192,6.04,6.071,732894.1
1742155200000,6.07,6.187,6.051,6.139,152819.14
1742169600000,6.138,6.265,6.1,6.231,333679.2
1742184000000,6.231,6.248,6.081,6.18,320058.03
1742198400000,6.18,6.281,6.126,6.219,462452.09
1742212800000,6.219,6.302,6.11,6.194,642296.73
1742227200000,6.193,6.39,6.183,6.375,370244.17
1742241600000,6.375,6.385,6.265,6.297,183506.94
1742256000000,6.297,6.32,6.156,6.193,294432.77
1742270400000,6.192,6.288,6.184,6.269,432147.14
1742284800000,6.267,6.325,6.187,6.212,257975.36
1742299200000,6.21,6.244,6.102,6.141,447045.84
1742313600000,6.141,6.308,6.096,6.293,277794.5
1742328000000,6.295,6.378,6.251,6.374,186037.69
1742342400000,6.374,6.476,6.371,6.406,352841.72
1742356800000,6.406,6.423,6.326,6.327,379429.11
1742371200000,6.326,6.652,6.32,6.645,814825.68
1742385600000,6.648,7.001,6.513,6.939,3014514.12
1742400000000,6.938,7.38,6.782,6.949,2690148.97
1742414400000,6.95,7.022,6.891,6.984,398762.13
1742428800000,6.985,7.056,6.85,6.86,433565.74
1742443200000,6.86,6.878,6.795,6.863,446241.94
1742457600000,6.863,6.891,6.715,6.762,753546.86
1742472000000,6.763,6.851,6.707,6.716,688488.74
1742486400000,6.714,6.881,6.643,6.845,483585
1742500800000,6.847,6.917,6.815,6.912,242329.17
1742515200000,6.913,6.93,6.835,6.849,275146.49
1742529600000,6.847,6.899,6.803,6.876,151739.39
1742544000000,6.875,6.915,6.788,6.83,240625.43
1742558400000,6.83,6.89,6.731,6.748,314042.83
1742572800000,6.749,6.859,6.746,6.776,191981.2
1742587200000,6.777,6.843,6.716,6.781,180174.45
1742601600000,6.783,6.879,6.78,6.874,182100.93
1742616000000,6.873,6.929,6.814,6.816,178131.32
1742630400000,6.816,6.897,6.794,6.806,244494.45
1742644800000,6.806,6.811,6.725,6.741,232952.17
1742659200000,6.74,6.884,6.729,6.859,199040.23
1742673600000,6.86,6.88,6.725,6.737,142462.68
1742688000000,6.736,6.829,6.724,6.823,218726.28
1742702400000,6.824,6.825,6.719,6.78,233111.03
1742716800000,6.781,6.806,6.726,6.738,285970.33
1742731200000,6.738,6.774,6.663,6.689,438955.35
1742745600000,6.691,6.7,6.615,6.661,140509.57
1742760000000,6.662,6.69,6.615,6.688,114373.75
1742774400000,6.691,6.79,6.578,6.785,434916.99
1742788800000,6.785,6.941,6.782,6.891,491234.77
1742803200000,6.891,7.08,6.891,7.069,353791.87
1742817600000,7.071,7.162,6.971,7.043,669492.65
1742832000000,7.044,7.097,6.95,7.08,277375.39
1742846400000,7.081,7.15,7.017,7.088,213835.94
1742860800000,7.088,7.133,6.929,6.95,254501.01
1742875200000,6.949,7.056,6.926,7.015,223845.17
1742889600000,7.016,7.125,7.013,7.029,261929.36
1742904000000,7.031,7.062,6.957,6.984,401231.53
1742918400000,6.986,7.05,6.933,6.991,270027.48
1742932800000,6.992,7.026,6.926,6.967,193000.69
1742947200000,6.968,7.083,6.873,6.926,428996.55
1742961600000,6.921,7.09,6.913,7.082,286964.03
1742976000000,7.082,7.129,7.014,7.097,383486.32
1742990400000,7.098,7.113,6.802,6.837,518274.32
1743004800000,6.835,6.882,6.684,6.778,446943.48
1743019200000,6.778,6.824,6.646,6.721,363874.34
1743033600000,6.724,6.909,6.693,6.865,598098.03
1743048000000,6.868,6.907,6.778,6.862,418752.42
1743062400000,6.86,6.883,6.701,6.715,577992.06
1743076800000,6.715,6.839,6.651,6.777,434180.41
1743091200000,6.776,6.811,6.683,6.779,410634.41
1743105600000,6.779,6.839,6.718,6.725,200450.11
1743120000000,6.727,6.838,6.688,6.764,215192.66
1743134400000,6.764,6.797,6.379,6.392,863548.85
1743148800000,6.39,6.433,6.253,6.299,513095.61
1743163200000,6.298,6.312,6.105,6.108,745458.55
1743177600000,6.108,6.155,6.071,6.112,623700.41
1743192000000,6.111,6.189,6.049,6.174,644763.94
1743206400000,6.174,6.255,6.084,6.189,742047.11
1743220800000,6.189,6.213,6.098,6.125,261292.65
1743235200000,6.124,6.169,6.003,6.05,354457.52
1743249600000,6.05,6.13,5.976,5.98,580734.05
1743264000000,5.98,6.012,5.863,5.947,641845.91
1743278400000,5.948,5.962,5.877,5.96,227660.96
1743292800000,5.96,6.059,5.91,6.003,219076.68
1743307200000,6.003,6.063,5.97,5.994,400424.36
1743321600000,5.994,6.033,5.951,5.98,103326.57
1743336000000,5.979,6.009,5.904,5.953,175736.22
1743350400000,5.953,6.011,5.864,5.956,182025.03
1743364800000,5.956,5.967,5.804,5.871,341129.41
1743379200000,5.872,5.943,5.768,5.834,551371.58
1743393600000,5.834,5.985,5.824,5.876,939611.71
